837  32700-32700/? D/dalvikvm©s Late-enabling CheckJNI
607    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff9-0000-1000-8000-00805f9b34fb
607  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd1-0000-1000-8000-00805f9b34fb
607  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd2-0000-1000-8000-00805f9b34fb
617    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd3-0000-1000-8000-00805f9b34fb
617  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd4-0000-1000-8000-00805f9b34fb
617  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffc1-0000-1000-8000-00805f9b34fb
617    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffc2-0000-1000-8000-00805f9b34fb
617  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffb1-0000-1000-8000-00805f9b34fb
617  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffb2-0000-1000-8000-00805f9b34fb
617    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffb3-0000-1000-8000-00805f9b34fb
617  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffb4-0000-1000-8000-00805f9b34fb
627  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffa2-0000-1000-8000-00805f9b34fb
627    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffa1-0000-1000-8000-00805f9b34fb
627  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff91-0000-1000-8000-00805f9b34fb
627  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff92-0000-1000-8000-00805f9b34fb
627    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff93-0000-1000-8000-00805f9b34fb
627  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff94-0000-1000-8000-00805f9b34fb
627  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff95-0000-1000-8000-00805f9b34fb
627    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff96-0000-1000-8000-00805f9b34fb
627  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff97-0000-1000-8000-00805f9b34fb
627  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff98-0000-1000-8000-00805f9b34fb
627    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff99-0000-1000-8000-00805f9b34fb
627  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff9a-0000-1000-8000-00805f9b34fb
637  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fc64-0000-1000-8000-00805f9b34fb
637    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe01-0000-1000-8000-00805f9b34fb
637  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe02-0000-1000-8000-00805f9b34fb
637  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe03-0000-1000-8000-00805f9b34fb
637    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe04-0000-1000-8000-00805f9b34fb
637  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe05-0000-1000-8000-00805f9b34fb
