08-11 600    /? D/dalvikvm©s Late-enabling CheckJNI
08-11 670       V/uBleService©s Bind service on device
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getTotalMemory ()J
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getFreeMemory ()J
08-11 710       V/uBleService©s Register service :android.app.Application
08-11 710       D/BluetoothAdapter©s startLeScan(): null
08-11 730       D/BluetoothAdapter©s onClientRegistered() - status=0 clientIf=5
08-11 730       V/uBleScanner©s StartLeScan.
08-11 760       I/Adreno-EGL©s <qeglDrvAPI_eglInitialize:410>: EGL 1.4 QUALCOMM build:  ()
    OpenGL ES Shader Compiler Version: E031.24.00.15
    Build Date: 04/21/15 Tue
    Local Branch:
    Remote Branch:
    Local Patches:
    Reconstruct Branch:
08-11 810       D/OpenGLRenderer©s Enabling debug mode 0
08-11 820       V/uBleService©s Service connected
08-11 360       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffa1-0000-1000-8000-00805f9b34fb
08-11 360       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff91-0000-1000-8000-00805f9b34fb
08-11 360       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff92-0000-1000-8000-00805f9b34fb
08-11 360       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff93-0000-1000-8000-00805f9b34fb
08-11 360       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff94-0000-1000-8000-00805f9b34fb
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff95-0000-1000-8000-00805f9b34fb
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff96-0000-1000-8000-00805f9b34fb
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff97-0000-1000-8000-00805f9b34fb
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff98-0000-1000-8000-00805f9b34fb
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff99-0000-1000-8000-00805f9b34fb
